feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
timestamp,Unnamed: 0,TIMESTAMP,datetime64[ns],ISO-8601 Datetime,Original timestamp resampled to 1h,Chronological hourly timestamp of electrical metering,UCI_Electricity_Load,Energy_Demand_Forecasting,CHRONOLOGICAL_INDEX,None,YES,SAFE,0.0,0.0,26113,KEEP_METADATA,Time-series index
power_kw,MT_124,TARGET,float64,kW,Hourly average power consumption,Active electrical power draw for client MT_124 at hour t,UCI_Electricity_Load,Energy_Demand_Forecasting,FUTURE_TARGET,Hour t,NO,TARGET,0.0,15681.140967396921,2597,TARGET,Forecasting target variable
hour,timestamp,CALENDAR,int32,Integer (0-23),timestamp.dt.hour,Hour of the day,UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,47.92173119391363,24,KEEP,None (strictly causal time-series feature)
day_of_week,timestamp,CALENDAR,int32,Integer (0-6),timestamp.dt.dayofweek,"Day of the week (0=Mon, 6=Sun)",UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,4.009225951802236,7,KEEP,None (strictly causal time-series feature)
is_weekend,timestamp,CALENDAR,int64,Binary (0/1),"day_of_week in [5, 6]",Weekend indicator flag,UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,0.20414101692643505,2,KEEP,None (strictly causal time-series feature)
month,timestamp,CALENDAR,int32,Integer (1-12),timestamp.dt.month,Calendar month,UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,11.759421193466855,12,KEEP,None (strictly causal time-series feature)
is_peak_hours,timestamp,CALENDAR,int64,Binary (0/1),"hour in [18, 19, 20, 21, 22]",Industrial evening peak tariff period (18:00-22:00),UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,0.16493221766936003,2,KEEP,None (strictly causal time-series feature)
hour_sin,timestamp,CYCLICAL,float64,Sine value,sin(2*pi*hour/24),Sine transform of 24h diurnal cycle,UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,0.5,21,KEEP,None (strictly causal time-series feature)
hour_cos,timestamp,CYCLICAL,float64,Cosine value,cos(2*pi*hour/24),Cosine transform of 24h diurnal cycle,UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,0.5000382951020563,22,KEEP,None (strictly causal time-series feature)
lag_1h,MT_124,CAUSAL_LAG,float64,kW,power_kw(t-1),Electricity demand 1 hour prior (t-1),UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,15681.511425847992,2597,KEEP,None (strictly causal time-series feature)
lag_2h,MT_124,CAUSAL_LAG,float64,kW,power_kw(t-2),Electricity demand 2 hours prior (t-2),UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,15681.752430021808,2598,KEEP,None (strictly causal time-series feature)
lag_3h,MT_124,CAUSAL_LAG,float64,kW,power_kw(t-3),Electricity demand 3 hours prior (t-3),UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,15681.441246882492,2598,KEEP,None (strictly causal time-series feature)
lag_4h,MT_124,CAUSAL_LAG,float64,kW,power_kw(t-4),Electricity demand 4 hours prior (t-4),UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,15681.512242956616,2598,KEEP,None (strictly causal time-series feature)
lag_24h,MT_124,CAUSAL_LAG,float64,kW,power_kw(t-24),Electricity demand 24 hours prior (same hour yesterday),UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,15678.562965255553,2597,KEEP,None (strictly causal time-series feature)
lag_168h,MT_124,CAUSAL_LAG,float64,kW,power_kw(t-168),Electricity demand 168 hours prior (same hour last week),UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,15634.15033118407,2596,KEEP,None (strictly causal time-series feature)
rolling_mean_24h,MT_124,CAUSAL_ROLLING,float64,kW,"rolling_mean(lag_1h, window=24)",24-hour historical rolling mean demand,UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,1528.502880173631,7857,KEEP,None (strictly causal time-series feature)
rolling_std_24h,MT_124,CAUSAL_ROLLING,float64,kW,"rolling_std(lag_1h, window=24)",24-hour historical demand standard deviation,UCI_Electricity_Load,Energy_Demand_Forecasting,CAUSAL_TIME_SERIES,1h to 168h strictly past,YES,SAFE,0.0,337.23716028806535,25762,KEEP,None (strictly causal time-series feature)
