feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
DefectStatus,DefectStatus,TARGET,int64,"Binary (0=Compliant, 1=Defective)",Ground truth defect label,Binary component inspection defect status,Manufacturing_Defects,Quality_Defect_Classification,POST_INSPECTION,None,NO,TARGET,0.0,0.13414738964548575,2,TARGET,Supervised learning target label
ProductionVolume,ProductionVolume,OPERATIONAL,int64,Units,Raw observation,Total batch production volume count,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,68854.84787400089,862,KEEP,None
ProductionCost,ProductionCost,FINANCIAL,float64,INR / USD,Raw observation,Total expenditure incurred for batch production,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,18559311.20809347,3240,KEEP,None
SupplierQuality,SupplierQuality,QUALITY,float64,Score (0-100),Raw observation,Incoming raw material supplier compliance index,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,33.16772706662347,3240,KEEP,None
DeliveryDelay,DeliveryDelay,OPERATIONAL,int64,Days,Raw observation,Inbound shipment delivery delay,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,2.90976858045655,6,KEEP,None
DefectRate,DefectRate,QUALITY_METRIC,float64,Percentage,Raw observation,Observed percentage of parts defective,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,CONDITIONAL_HIGH_CORRELATION,0.0,1.7165045431793895,3240,REVIEW,Extremely high correlation with DefectStatus; review to avoid proxy leakage
QualityScore,QualityScore,QUALITY,float64,Score (0-100),Raw observation,Internal composite quality compliance rating,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,134.8327418086604,3240,KEEP,None
MaintenanceHours,MaintenanceHours,MAINTENANCE,int64,Hours,Raw observation,Total preventative and corrective maintenance labor hours,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,47.23378119294554,24,KEEP,None
DowntimePercentage,DowntimePercentage,OPERATIONAL,float64,Percentage,Raw observation,Percentage of scheduled shift lost to stoppages,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,2.0842248662536953,3240,KEEP,None
InventoryTurnover,InventoryTurnover,SUPPLY_CHAIN,float64,Ratio,Raw observation,Inventory velocity turnover ratio,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,5.427927748792526,3240,KEEP,None
StockoutRate,StockoutRate,SUPPLY_CHAIN,float64,Percentage,Raw observation,Frequency of raw material stockout events,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,0.0008292804625968887,3240,KEEP,None
WorkerProductivity,WorkerProductivity,OPERATIONAL,float64,Score (0-100),Raw observation,Operational labor output efficiency score,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,32.75959152934252,3240,KEEP,None
SafetyIncidents,SafetyIncidents,OPERATIONAL,int64,Count,Raw observation,Workplace safety incidents logged during batch run,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,8.388630750231554,10,KEEP,None
EnergyConsumption,EnergyConsumption,ENERGY,float64,kWh,Raw observation,Total electrical energy consumed by processing equipment,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,1330379.5870406604,3240,KEEP,None
EnergyEfficiency,EnergyEfficiency,ENERGY,float64,Index,Raw observation,Process energy efficiency rating,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,0.013548890043019955,3240,KEEP,None
AdditiveProcessTime,AdditiveProcessTime,PROCESS,float64,Minutes,Raw observation,Duration of secondary additive processing,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,6.7507055258053,3240,KEEP,None
AdditiveMaterialCost,AdditiveMaterialCost,FINANCIAL,float64,Cost,Raw observation,Direct material cost of additive manufacturing components,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,13544.282296876672,3240,KEEP,None
cost_per_unit,"ProductionCost, ProductionVolume",DERIVED_ECONOMIC,float64,Cost/Unit,ProductionCost / ProductionVolume,Unit production cost,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,734.2570794842031,3240,KEEP,None (valid derived operational metric)
energy_per_unit_volume,"EnergyConsumption, ProductionVolume",DERIVED_ENERGY,float64,kWh/Unit,EnergyConsumption / ProductionVolume,Specific energy consumption per unit,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,47.033539577548794,3240,KEEP,None (valid derived operational metric)
maintenance_downtime_ratio,"MaintenanceHours, DowntimePercentage",DERIVED_MAINTENANCE,float64,Hours/%,MaintenanceHours / DowntimePercentage,Maintenance response per downtime percentage,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,642.3239687968171,3053,KEEP,None (valid derived operational metric)
supply_chain_risk_index,"DeliveryDelay, StockoutRate",DERIVED_SUPPLY_CHAIN,float64,Index,DeliveryDelay * StockoutRate,Compound inbound supply friction factor,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,1.5357356983355263e-06,2720,KEEP,None (valid derived operational metric)
operational_friction_index,"WorkerProductivity, DowntimePercentage",DERIVED_OPERATIONAL,float64,Index,(100 - Productivity) * Downtime,Composite labor-downtime friction index,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,0.04897280571431444,3240,KEEP,None (valid derived operational metric)
additive_cost_share,"AdditiveMaterialCost, ProductionCost",DERIVED_ECONOMIC,float64,Ratio,AdditiveMaterialCost / ProductionCost,Proportion of total cost in additive material,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,0.00026548056296826257,3240,KEEP,None (valid derived operational metric)
energy_quality_factor,"EnergyEfficiency, QualityScore",DERIVED_EFFICIENCY,float64,Ratio,EnergyEfficiency / QualityScore,Energy efficiency normalized by quality score,Manufacturing_Defects,Quality_Defect_Classification,BATCH_RUN,Batch execution,YES,SAFE,0.0,2.5595028963324407e-06,3240,KEEP,None (valid derived operational metric)
