feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
Job_ID,Job_ID,IDENTIFIER,str,String ID,Identity,Unique identifier for Job_ID,Manufacturing_Production,Bottleneck_Flow_Prediction,STATIC,None,YES,LEAKAGE_IDENTIFIER,0.0,0.0,1000,REMOVE,High-cardinality job identifier
Machine_ID,Machine_ID,IDENTIFIER,str,String ID,Identity,Unique identifier for Machine_ID,Manufacturing_Production,Bottleneck_Flow_Prediction,STATIC,None,YES,SAFE_FOR_GROUPING,0.0,0.0,5,KEEP_METADATA,Required for station grouping
Operation_Type,Operation_Type,CATEGORICAL,str,String,Raw,Manufacturing station process type,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,0.0,5,KEEP,None (valid prospective operational predictor)
operation_type_code,Operation_Type,CATEGORICAL_ENCODED,int64,Integer,map(op_map),Ordinal code of operation type,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,1.9915105105105106,5,KEEP,None (valid prospective operational predictor)
Material_Used,Material_Used,NUMERICAL_OPERATIONAL,float64,Units/kg,Raw,Raw material quantity allocated for job,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,1.3182228324324323,362,KEEP,None (valid prospective operational predictor)
Processing_Time,Processing_Time,NUMERICAL_OPERATIONAL,int64,Minutes,Raw,Nominal design processing time,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,811.3599039039038,101,KEEP,None (valid prospective operational predictor)
Energy_Consumption,Energy_Consumption,NUMERICAL_ENERGY,float64,kWh,Raw,Planned electrical energy allocation,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,13.468470274674674,702,KEEP,None (valid prospective operational predictor)
Machine_Availability,Machine_Availability,OPERATIONAL,int64,Percentage (0-100),Raw,Reported machine availability at dispatch,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,33.14958058058059,20,KEEP,None (valid prospective operational predictor)
planned_duration_min,Scheduled_End - Scheduled_Start,DERIVED_SCHEDULE,float64,Minutes,Scheduled_End - Scheduled_Start,Planned scheduled duration,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,811.3599039039038,101,KEEP,None (valid prospective operational predictor)
scheduled_hour,Scheduled_Start,CALENDAR,int32,Hour (0-23),Scheduled_Start.dt.hour,Scheduled dispatch hour of day,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,48.164720720720716,24,KEEP,None (valid prospective operational predictor)
scheduled_day_of_week,Scheduled_Start,CALENDAR,int32,Day (0-6),Scheduled_Start.dt.dayofweek,Scheduled dispatch day of week,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,4.003747747747747,7,KEEP,None (valid prospective operational predictor)
planned_energy_rate,"Energy, Processing_Time",DERIVED_ENERGY,float64,kWh/min,Energy / Processing_Time,Planned energy consumption per minute,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,0.011755835471258627,988,KEEP,None (valid prospective operational predictor)
material_intensity,"Material, Processing_Time",DERIVED_OPERATIONAL,float64,Units/min,Material / Processing_Time,Material consumption rate,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,0.0013909873835251697,976,KEEP,None (valid prospective operational predictor)
machine_unavailability_pct,Machine_Availability,DERIVED_OPERATIONAL,float64,Percentage,100 - Machine_Availability,Machine unavailability risk factor,Manufacturing_Production,Bottleneck_Flow_Prediction,PROSPECTIVE_DISPATCH,t <= Scheduled_Start,YES,SAFE,0.0,33.14958058058058,20,KEEP,None (valid prospective operational predictor)
Actual_Start,Actual_Start,TIMESTAMP,str,Datetime,Raw,Empirical job commencement timestamp,Manufacturing_Production,Bottleneck_Flow_Prediction,POST_EVENT,t >= Actual_End,NO,POST_EVENT_ONLY,0.129,0.0,851,REMOVE_FOR_PROSPECTIVE,Strict post-event feature; available only after job execution completes
