feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
Time,Time,TIMESTAMP,str,Datetime,Timestamp,Timestamp of semiconductor fab process run,UCI_SECOM,Yield_Defect_Classification,TIME_SERIES,None,YES,SAFE,0.0,0.0,1534,KEEP_METADATA,Process timestamp; useful for time-based ordering
target_defect,Pass/Fail,TARGET,int64,"Binary (0=Pass, 1=Fail)",Pass/Fail == 1,Wafer yield defect test failure indicator,UCI_SECOM,Yield_Defect_Classification,POST_PROCESS,None,NO,TARGET,0.0,0.06200360076644654,2,TARGET,Supervised learning target
sensor_0,0,FAB_IN_LINE_SENSOR,float64,UNKNOWN / NOT DOCUMENTED,Raw in-line sensor reading,Semiconductor in-line sensor channel 0,UCI_SECOM,Yield_Defect_Classification,IN_LINE_PROCESS,Current wafer,YES,SAFE,0.0038289725590299937,5420.16748404614,1520,KEEP,Passes variance and completeness screening
sensor_1,1,FAB_IN_LINE_SENSOR,float64,UNKNOWN / NOT DOCUMENTED,Raw in-line sensor reading,Semiconductor in-line sensor channel 1,UCI_SECOM,Yield_Defect_Classification,IN_LINE_PROCESS,Current wafer,YES,SAFE,0.004467134652201659,6465.399019959541,1504,KEEP,Passes variance and completeness screening
sensor_2,2,FAB_IN_LINE_SENSOR,float64,UNKNOWN / NOT DOCUMENTED,Raw in-line sensor reading,Semiconductor in-line sensor channel 2,UCI_SECOM,Yield_Defect_Classification,IN_LINE_PROCESS,Current wafer,YES,SAFE,0.008934269304403318,871.0261443665875,507,KEEP,Passes variance and completeness screening
sensor_3,3,FAB_IN_LINE_SENSOR,float64,UNKNOWN / NOT DOCUMENTED,Raw in-line sensor reading,Semiconductor in-line sensor channel 3,UCI_SECOM,Yield_Defect_Classification,IN_LINE_PROCESS,Current wafer,YES,SAFE,0.008934269304403318,195091.50517775348,518,KEEP,Passes variance and completeness screening
sensor_4,4,FAB_IN_LINE_SENSOR,float64,UNKNOWN / NOT DOCUMENTED,Raw in-line sensor reading,Semiconductor in-line sensor channel 4,UCI_SECOM,Yield_Defect_Classification,IN_LINE_PROCESS,Current wafer,YES,SAFE,0.008934269304403318,3175.9468992516067,503,KEEP,Passes variance and completeness screening
sensor_5,5,FAB_IN_LINE_SENSOR,float64,UNKNOWN / NOT DOCUMENTED,Raw in-line sensor reading,Semiconductor in-line sensor channel 5,UCI_SECOM,Yield_Defect_Classification,IN_LINE_PROCESS,Current wafer,YES,SAFE,0.008934269304403318,0.0,1,REMOVE,"Near-zero/zero variance (var=0.00e+00, unique=1)"
sensor_6,6,FAB_IN_LINE_SENSOR,float64,UNKNOWN / NOT DOCUMENTED,Raw in-line sensor reading,Semiconductor in-line sensor channel 6,UCI_SECOM,Yield_Defect_Classification,IN_LINE_PROCESS,Current wafer,YES,SAFE,0.008934269304403318,38.90283584892686,510,KEEP,Passes variance and completeness screening
sensor_7,7,FAB_IN_LINE_SENSOR,float64,UNKNOWN / NOT DOCUMENTED,Raw in-line sensor reading,Semiconductor in-line sensor channel 7,UCI_SECOM,Yield_Defect_Classification,IN_LINE_PROCESS,Current wafer,YES,SAFE,0.00574345883854499,8.030522137796674e-05,89,KEEP,Passes variance and completeness screening
