feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
reading_id,reading_id,IDENTIFIER,int64,String ID,Identity,Unique factory telemetry row identifier,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,STATIC,None,YES,LEAKAGE_IDENTIFIER,0.0,0.0,43200,REMOVE,High-cardinality arbitrary row ID
machine_id,machine_id,IDENTIFIER_GROUP,str,Station ID (M1-M5),Identity,"Manufacturing station identifier (M1 Lathe, M2 Milling, M3 Grinder, M4 Inspection, M5 Assembly)",Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,GROUP,None,YES,SAFE_FOR_GROUPING,0.0,0.0,5,KEEP_METADATA,Required for multi-station grouping and topological routing
vibration_mms,vibration_mms,SENSOR,float64,mm/s,Raw sensor telemetry,RMS vibration velocity amplitude,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,0.37038369824135103,2509,KEEP,None (primary physical telemetry channel)
temperature_c,temperature_c,SENSOR,float64,C,Raw sensor telemetry,Machine component operating process temperature,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,38.19644843864677,2660,KEEP,None (primary physical telemetry channel)
ambient_temperature_c,ambient_temperature_c,ENVIRONMENTAL,float64,C,Raw sensor telemetry,Factory floor ambient room temperature,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,32.272381566155026,1739,KEEP,None (primary physical telemetry channel)
rotational_speed_rpm,rotational_speed_rpm,SENSOR,float64,RPM,Raw sensor telemetry,Spindle angular rotational speed,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,222.8527776908416,968,KEEP,None (primary physical telemetry channel)
torque_nm,torque_nm,SENSOR,float64,Nm,Raw sensor telemetry,Applied spindle mechanical torque,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,1581.7485019274109,7312,KEEP,None (primary physical telemetry channel)
sound_db,sound_db,SENSOR,float64,dB,Raw sensor telemetry,Acoustic operational sound pressure level,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,3.416320582261206,204,KEEP,None (primary physical telemetry channel)
power_consumption_kw,power_consumption_kw,SENSOR,float64,kW,Raw sensor telemetry,Active electrical machine power consumption,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,39.00013414285053,1613,KEEP,None (primary physical telemetry channel)
oil_level_pct,oil_level_pct,MAINTENANCE,float64,Percentage (0-100),Raw sensor telemetry,Lubricant reservoir fluid level,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,61.30233723772328,507,KEEP,None (primary physical telemetry channel)
coolant_level_pct,coolant_level_pct,MAINTENANCE,float64,Percentage (0-100),Raw sensor telemetry,Spindle coolant reservoir fluid level,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,18.729600222227365,30,KEEP,None (primary physical telemetry channel)
tool_wear_min,tool_wear_min,OPERATIONAL,float64,Minutes,Raw sensor telemetry,Cumulative active machining tool wear time,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous tick,YES,SAFE,0.0,127149835.0490323,10747,KEEP,None (primary physical telemetry channel)
temp_diff_c,"temperature_c, ambient_temperature_c",DERIVED_THERMAL,float64,C,temperature_c - ambient_temperature_c,Process thermal accumulation over ambient temperature,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,6.160144439779931,2420,KEEP,None (domain-grounded causal synthetic feature)
vibration_severity_ratio,vibration_mms,DERIVED_MECHANICAL,float64,Ratio,vibration_mms / 2.80,Vibration severity relative to ISO 10816 2.80 mm/s alert boundary,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,0.04724281865323357,2509,KEEP,None (domain-grounded causal synthetic feature)
vibration_roll_mean_5,vibration_mms,CAUSAL_ROLLING,float64,mm/s,"rolling_mean(vibration, window=5)",5-minute causal rolling mean vibration per machine,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,0.3511008686703491,11828,KEEP,None (domain-grounded causal synthetic feature)
vibration_roll_std_15,vibration_mms,CAUSAL_ROLLING,float64,mm/s,"rolling_std(vibration, window=15)",15-minute causal rolling vibration volatility,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,0.0023786991509641125,43040,KEEP,None (domain-grounded causal synthetic feature)
vibration_roll_max_15,vibration_mms,CAUSAL_ROLLING,float64,mm/s,"rolling_max(vibration, window=15)",15-minute causal rolling peak vibration,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,0.39536478507132783,1415,KEEP,None (domain-grounded causal synthetic feature)
power_speed_ratio,"power_consumption_kw, rotational_speed_rpm",DERIVED_ELECTROMECHANICAL,float64,kW/RPM,power / rotational_speed,Power consumption per RPM (load stress proxy),Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,1.73458398206939e-05,40841,KEEP,None (domain-grounded causal synthetic feature)
mech_thermal_stress,"torque_nm, temperature_c",DERIVED_STRESS,float64,Nm*C,torque_nm * temperature_c,Torque-temperature mechanical-thermal stress product,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,2916509.4352798783,43003,KEEP,None (domain-grounded causal synthetic feature)
fluid_health_index,"oil_level_pct, coolant_level_pct",DERIVED_MAINTENANCE,float64,Sum % (0-200),oil_level_pct + coolant_level_pct,Total machine fluid health index,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,141.89039020191223,514,KEEP,None (domain-grounded causal synthetic feature)
tool_wear_risk,tool_wear_min,DERIVED_DEGRADATION,float64,Index,(tool_wear_min / 180)^2,Quadratic wear acceleration index past 180 min,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,182300371.1726157,10747,KEEP,None (domain-grounded causal synthetic feature)
acoustic_vibration_factor,"sound_db, vibration_mms",DERIVED_STRESS,float64,dB*mm/s,sound_db * vibration_mms,Acoustic-vibration harmonic interaction factor,Synthetic_Factory_AutoComponents,Factory_Intelligence_Integration,CONTROLLED_SYNTHETIC_DERIVED,1 to 15 minutes strictly past,YES,SAFE,0.0,2384.2804003140177,30674,KEEP,None (domain-grounded causal synthetic feature)
