feature_name,original_columns,feature_type,data_type,unit,formula,description,dataset,task,temporal_behavior,lookback,available_at_prediction_time,leakage_status,missing_rate,variance,unique_count,status,removal_reason
reading_id,reading_id,IDENTIFIER,int64,String ID,Identity,Unique textile sensor reading identifier,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,STATIC,None,YES,LEAKAGE_IDENTIFIER,0.0,0.0,43200,REMOVE,High-cardinality arbitrary row identifier
machine_id,machine_id,IDENTIFIER_GROUP,str,Machine ID,Identity,Textile loom station identifier,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,GROUP,None,YES,SAFE_FOR_GROUPING,0.0,0.0,5,KEEP_METADATA,Required for entity grouping
vibration_mms,vibration_mms,SENSOR,float64,mm/s,Raw observation,Loom mechanical vibration amplitude,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous,YES,SAFE,0.0,0.3399774921693784,2641,KEEP,None (valid telemetry channel)
temperature_c,temperature_c,SENSOR,float64,C,Raw observation,Loom motor process temperature,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous,YES,SAFE,0.0,31.865625273311153,2515,KEEP,None (valid telemetry channel)
ambient_temperature_c,ambient_temperature_c,ENVIRONMENTAL,float64,C,Raw observation,Weaving shed ambient temperature,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous,YES,SAFE,0.0,24.62766478124922,1501,KEEP,None (valid telemetry channel)
rotational_speed_rpm,rotational_speed_rpm,SENSOR,float64,RPM,Raw observation,Loom main shaft rotational speed,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous,YES,SAFE,0.0,28901629.139654033,3181,KEEP,None (valid telemetry channel)
torque_nm,torque_nm,SENSOR,float64,Nm,Raw observation,Loom drive torque,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous,YES,SAFE,0.0,4182.553647732906,7715,KEEP,None (valid telemetry channel)
sound_db,sound_db,SENSOR,float64,dB,Raw observation,Acoustic operational noise level,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous,YES,SAFE,0.0,2.890716323546369,188,KEEP,None (valid telemetry channel)
power_consumption_kw,power_consumption_kw,SENSOR,float64,kW,Raw observation,Active electrical power consumption,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous,YES,SAFE,0.0,60.54565432900319,1423,KEEP,None (valid telemetry channel)
oil_level_pct,oil_level_pct,MAINTENANCE,float64,Percentage,Raw observation,Loom gearbox oil level percentage,Textile_Manufacturing_Synthetic,Textile_Anomaly_Detection,CONTROLLED_SYNTHETIC_TIME_SERIES,Instantaneous,YES,SAFE,0.0,55.68121596058358,468,KEEP,None (valid telemetry channel)
