fpr,tpr
0.0,0.0
0.004545454545454545,0.0
0.004545454545454545,0.0625
0.04090909090909091,0.0625
0.04090909090909091,0.1875
0.045454545454545456,0.1875
0.045454545454545456,0.3125
0.05,0.3125
0.05,0.375
0.05454545454545454,0.375
0.05454545454545454,0.4375
0.1,0.4375
0.1,0.5625
0.11363636363636363,0.5625
0.11363636363636363,0.625
0.5272727272727272,0.625
0.5272727272727272,0.6875
0.6772727272727272,0.6875
0.6772727272727272,0.75
0.7045454545454546,0.75
0.7045454545454546,0.875
0.7181818181818181,0.875
0.7181818181818181,0.9375
0.7818181818181819,0.9375
0.7818181818181819,1.0
1.0,1.0
