Task Identifier,Epistemic Status,Baseline Model,Tuned Model,Selection Metric,Baseline Val,Tuned Val,Val Abs Imprv,Val Rel Imprv (%),Baseline Test,Tuned Test,Test Delta,Test Rel Delta (%),Configs Evaluated,Decision
manufacturing_production,PROSPECTIVE_DISPATCH_RECORD,Random_Forest_Weighted,LR_C0.1_balanced,PR_AUC,0.4021,0.3993,-0.0027,-0.68%,0.3141,0.2717,-0.0424,-13.49%,54,BASELINE_RETAINED
secom,REAL_SEMICONDUCTOR_INLINE_SENSORS,XGBoost_Weighted,XGB_d4_lr0.08_col0.5_spw10_Nat,PR_AUC,0.2669,0.4733,0.2064,+77.36%,0.1374,0.1964,0.059,+42.96%,66,TUNED_MODEL_ACCEPTED
industrial_iot_failure,CONTROLLED_INDUSTRIAL_SIMULATOR,Logistic_Regression_Sampled,LR_C10.0_ROS,PR_AUC,0.7522,0.7522,0.0,+0.00%,0.7596,0.7596,-0.0,-0.00%,20,BASELINE_RETAINED
ai4i,REAL_PHYSICAL_SIMULATOR,Random_Forest_Natural,RF_n200_d8_l1_None_Nat,PR_AUC,0.9051,0.9081,0.003,+0.34%,0.91,0.9135,0.0035,+0.39%,62,BASELINE_RETAINED
cmapss,HIGH_FIDELITY_PHYSICS_SIMULATION,XGBoost_Regressor,XGB_n150_d6_lr0.03,RMSE,12.8983,11.4643,1.434,+11.12%,13.3251,13.0794,0.2457,+1.84%,35,TUNED_MODEL_ACCEPTED
electricity,REAL_INDUSTRIAL_TELEMETRY,XGBoost_Regressor,XGB_n200_d8_lr0.03_mcw1,WAPE,0.0652,0.062,0.0032,+4.89%,0.0663,0.0627,0.0035,+5.30%,54,TUNED_MODEL_ACCEPTED
industrial_iot_rul,CONTROLLED_INDUSTRIAL_SIMULATOR,XGBoost_Regressor,XGB_d6_lr0.05_n150,RMSE,48.4887,48.3192,0.1694,+0.35%,48.598,48.3798,0.2181,+0.45%,16,BASELINE_RETAINED
manufacturing_defects,REAL_MANUFACTURING_METRICS,Random_Forest_Natural,RF_n100_dNone_l4,ROC_AUC,0.8184,0.8389,0.0206,+2.52%,0.8675,0.8935,0.0261,+3.01%,24,TUNED_MODEL_ACCEPTED
textile,CONTROLLED_SYNTHETIC,Isolation_Forest_Detector,PCA_comp6,ADCR,0.8553,2.0618,1.2065,+141.06%,0.9431,2.8024,1.8593,+197.14%,22,TUNED_MODEL_ACCEPTED
synthetic_factory,CONTROLLED_SYNTHETIC,Isolation_Forest_Detector,IF_n100_cauto_f1.0,MASI,4.7288,4.7288,0.0,+0.00%,2.1024,2.1024,0.0,+0.00%,22,BASELINE_RETAINED
